"slug","title","content_type","category","batch_wave","duration_seconds","approval_status","app_instruction_slug","source_image_role","visual_reference_url","character_reference_urls","video_url","thumbnail_url"
"agachamento-leve-guiado","Agachamento leve guiado","body_movement","Funcional em Casa","2","150","script_ready_needs_final_video","agachamento-leve-guiado","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/agachamento-leve-guiado.mp4","/videos/thumbs/agachamento-leve-guiado.jpg"
"ativacao-leve-3-minutos","Ativacao leve de 3 minutos","body_movement","Mobilidade","2","150","script_ready_needs_final_video","ativacao-leve-3-minutos","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/ativacao-leve-3-minutos.mp4","/videos/thumbs/ativacao-leve-3-minutos.jpg"
"caminhada-consciente-curta","Caminhada consciente curta","body_movement","Caminhada","2","150","script_ready_needs_final_video","caminhada-consciente-curta","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/caminhada-consciente-curta.mp4","/videos/thumbs/caminhada-consciente-curta.jpg"
"celular-longe-da-cama","Celular longe da cama","body_movement","Pausas de Trabalho / Telas","2","60","script_ready_needs_final_video","celular-longe-da-cama","pose_reference","/exercises/ritual-sono-sem-tela.png","/exercises/ritual-sono-sem-tela.png|/exercises/respiracao-antes-de-dormir.png|/exercises/celular-longe-da-cama.png","/videos/celular-longe-da-cama.mp4","/videos/thumbs/celular-longe-da-cama.jpg"
"funcional-em-casa-iniciante","Funcional em casa iniciante","body_movement","Funcional em Casa","2","150","script_ready_needs_final_video","funcional-em-casa-iniciante","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/funcional-em-casa-iniciante.mp4","/videos/thumbs/funcional-em-casa-iniciante.jpg"
"jumping-baixo-impacto","Jumping baixo impacto","body_movement","Cardio Leve","2","150","script_ready_needs_final_video","jumping-baixo-impacto","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/jumping-baixo-impacto.mp4","/videos/thumbs/jumping-baixo-impacto.jpg"
"levantar-e-respirar","Levantar e respirar","body_movement","Mobilidade","2","150","script_ready_needs_final_video","levantar-e-respirar","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/levantar-e-respirar.mp4","/videos/thumbs/levantar-e-respirar.jpg"
"luta-sombra-leve","Luta sombra leve","body_movement","Luta Sombra","2","150","script_ready_needs_final_video","luta-sombra-leve","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/luta-sombra-leve.mp4","/videos/thumbs/luta-sombra-leve.jpg"
"marcha-leve-parada","Marcha leve parada","body_movement","Cardio Leve","2","150","script_ready_needs_final_video","marcha-leve-parada","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/marcha-leve-parada.mp4","/videos/thumbs/marcha-leve-parada.jpg"
"mobilidade-pescoco-ombros","Mobilidade de pescoco e ombros","body_movement","Mobilidade","2","150","script_ready_needs_final_video","mobilidade-pescoco-ombros","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/mobilidade-pescoco-ombros.mp4","/videos/thumbs/mobilidade-pescoco-ombros.jpg"
"mobilidade-rapida-coluna","Mobilidade rapida para coluna","body_movement","Mobilidade","2","150","script_ready_needs_final_video","mobilidade-rapida-coluna","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/mobilidade-rapida-coluna.mp4","/videos/thumbs/mobilidade-rapida-coluna.jpg"
"pausa-consciente-trabalho","Pausa consciente no trabalho","body_movement","Pausas de Trabalho / Telas","2","90","script_ready_needs_final_video","pausa-consciente-trabalho","pose_reference","/exercises/organizacao-5-minutos.png","/exercises/organizacao-5-minutos.png|/exercises/diario-descarrego-mental.png|/exercises/gratidao-rapida.png","/videos/pausa-consciente-trabalho.mp4","/videos/thumbs/pausa-consciente-trabalho.jpg"
"pausa-de-energia","Pausa de energia","body_movement","Mobilidade","2","150","script_ready_needs_final_video","pausa-de-energia","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/pausa-de-energia.mp4","/videos/thumbs/pausa-de-energia.jpg"
"pausa-foco-sem-impacto","Pausa de foco sem impacto","body_movement","Pausas de Trabalho / Telas","2","90","script_ready_needs_final_video","pausa-foco-sem-impacto","pose_reference","/exercises/organizacao-5-minutos.png","/exercises/organizacao-5-minutos.png|/exercises/diario-descarrego-mental.png|/exercises/gratidao-rapida.png","/videos/pausa-foco-sem-impacto.mp4","/videos/thumbs/pausa-foco-sem-impacto.jpg"
"pular-corda-iniciante","Pular corda iniciante","body_movement","Pular Corda","2","150","script_ready_needs_final_video","pular-corda-iniciante","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/pular-corda-iniciante.mp4","/videos/thumbs/pular-corda-iniciante.jpg"
"reset-corporal-trabalho","Reset corporal no trabalho","body_movement","Pausas de Trabalho / Telas","2","90","script_ready_needs_final_video","reset-corporal-trabalho","pose_reference","/exercises/organizacao-5-minutos.png","/exercises/organizacao-5-minutos.png|/exercises/diario-descarrego-mental.png|/exercises/gratidao-rapida.png","/videos/reset-corporal-trabalho.mp4","/videos/thumbs/reset-corporal-trabalho.jpg"
"reset-de-foco","Reset de foco","body_movement","Pausas de Trabalho / Telas","2","90","script_ready_needs_final_video","reset-de-foco","pose_reference","/exercises/organizacao-5-minutos.png","/exercises/organizacao-5-minutos.png|/exercises/diario-descarrego-mental.png|/exercises/gratidao-rapida.png","/videos/reset-de-foco.mp4","/videos/thumbs/reset-de-foco.jpg"
"respiracao-mobilidade","Respiracao + mobilidade","body_movement","Mobilidade","2","150","script_ready_needs_final_video","respiracao-mobilidade","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/respiracao-mobilidade.mp4","/videos/thumbs/respiracao-mobilidade.jpg"
"uma-tarefa-apenas","Uma tarefa apenas","body_movement","Pausas de Trabalho / Telas","2","120","script_ready_needs_final_video","uma-tarefa-apenas","pose_reference","/exercises/organizacao-5-minutos.png","/exercises/organizacao-5-minutos.png|/exercises/diario-descarrego-mental.png|/exercises/gratidao-rapida.png","/videos/uma-tarefa-apenas.mp4","/videos/thumbs/uma-tarefa-apenas.jpg"
"yoga-bolso-pausa-no-chao","Yoga de bolso: pausa no chao","body_movement","Yoga Fisico / Instrucional","2","240","script_ready_needs_final_video","yoga-bolso-pausa-no-chao","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/yoga-bolso-pausa-no-chao.mp4","/videos/thumbs/yoga-bolso-pausa-no-chao.jpg"
"yoga-energia-leve","Yoga de energia leve","body_movement","Yoga Fisico / Instrucional","2","240","script_ready_needs_final_video","yoga-energia-leve","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/yoga-energia-leve.mp4","/videos/thumbs/yoga-energia-leve.jpg"
"yoga-leve","Yoga leve","body_movement","Yoga Fisico / Instrucional","2","240","script_ready_needs_final_video","yoga-leve","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/yoga-leve.mp4","/videos/thumbs/yoga-leve.jpg"
"noventa-noventa","90/90 de quadril","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","noventa-noventa","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/noventa-noventa.mp4","/videos/thumbs/noventa-noventa.jpg"
"abertura-peito-porta","Abertura de peito na porta","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","abertura-peito-porta","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/abertura-peito-porta.mp4","/videos/thumbs/abertura-peito-porta.jpg"
"abertura-quadril-sentado","Abertura de quadril sentado","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","abertura-quadril-sentado","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/abertura-quadril-sentado.mp4","/videos/thumbs/abertura-quadril-sentado.jpg"
"abertura-dedos","Abertura dos dedos","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","abertura-dedos","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/abertura-dedos.mp4","/videos/thumbs/abertura-dedos.jpg"
"abertura-dedos-pe","Abertura dos dedos do pe","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","abertura-dedos-pe","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/abertura-dedos-pe.mp4","/videos/thumbs/abertura-dedos-pe.jpg"
"abraco-escapulas","Abraco das escapulas","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","abraco-escapulas","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/abraco-escapulas.mp4","/videos/thumbs/abraco-escapulas.jpg"
"alcance-lateral-toracico","Alcance lateral toracico","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alcance-lateral-toracico","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alcance-lateral-toracico.mp4","/videos/thumbs/alcance-lateral-toracico.jpg"
"alfabeto-tornozelo","Alfabeto com tornozelo","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alfabeto-tornozelo","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alfabeto-tornozelo.mp4","/videos/thumbs/alfabeto-tornozelo.jpg"
"alongamento-frente-tornozelo","Alongamento da frente do tornozelo","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-frente-tornozelo","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-frente-tornozelo.mp4","/videos/thumbs/alongamento-frente-tornozelo.jpg"
"alongamento-biceps-parede","Alongamento de biceps na parede","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-biceps-parede","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-biceps-parede.mp4","/videos/thumbs/alongamento-biceps-parede.jpg"
"alongamento-de-pernas","Alongamento de pernas","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-de-pernas","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-de-pernas.mp4","/videos/thumbs/alongamento-de-pernas.jpg"
"alongamento-braquiorradial","Alongamento do braquiorradial","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-braquiorradial","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-braquiorradial.mp4","/videos/thumbs/alongamento-braquiorradial.jpg"
"elevador-escapula","Alongamento do elevador da escapula","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","elevador-escapula","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/elevador-escapula.mp4","/videos/thumbs/elevador-escapula.jpg"
"alongamento-polegar","Alongamento do polegar","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-polegar","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-polegar.mp4","/videos/thumbs/alongamento-polegar.jpg"
"alongamento-pronadores","Alongamento dos pronadores","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-pronadores","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-pronadores.mp4","/videos/thumbs/alongamento-pronadores.jpg"
"alongamento-supinadores","Alongamento dos supinadores","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-supinadores","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-supinadores.mp4","/videos/thumbs/alongamento-supinadores.jpg"
"alongamento-lateral-tronco","Alongamento lateral do tronco","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-lateral-tronco","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-lateral-tronco.mp4","/videos/thumbs/alongamento-lateral-tronco.jpg"
"alongamento-leve-pernas","Alongamento leve de pernas","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-leve-pernas","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-leve-pernas.mp4","/videos/thumbs/alongamento-leve-pernas.jpg"
"capsula-posterior-ombro","Alongamento posterior do ombro","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","capsula-posterior-ombro","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/capsula-posterior-ombro.mp4","/videos/thumbs/capsula-posterior-ombro.jpg"
"joelho-no-chao-anterior","Anterior de coxa com joelho no chao","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","joelho-no-chao-anterior","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/joelho-no-chao-anterior.mp4","/videos/thumbs/joelho-no-chao-anterior.jpg"
"anterior-coxa-cadeira","Anterior de coxa na cadeira","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","anterior-coxa-cadeira","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/anterior-coxa-cadeira.mp4","/videos/thumbs/anterior-coxa-cadeira.jpg"
"arco-plantar-bola","Arco plantar com bola","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","arco-plantar-bola","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/arco-plantar-bola.mp4","/videos/thumbs/arco-plantar-bola.jpg"
"bascula-pelvica","Bascula pelvica","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","bascula-pelvica","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/bascula-pelvica.mp4","/videos/thumbs/bascula-pelvica.jpg"
"bom-dia-mobilidade","Bom dia de mobilidade","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","bom-dia-mobilidade","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/bom-dia-mobilidade.mp4","/videos/thumbs/bom-dia-mobilidade.jpg"
"borboleta","Borboleta","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","borboleta","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/borboleta.mp4","/videos/thumbs/borboleta.jpg"
"braco-cruzado-suave","Braco cruzado suave","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","braco-cruzado-suave","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/braco-cruzado-suave.mp4","/videos/thumbs/braco-cruzado-suave.jpg"
"circulos-punho-mobilidade","Circulos de punho","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","circulos-punho-mobilidade","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/circulos-punho-mobilidade.mp4","/videos/thumbs/circulos-punho-mobilidade.jpg"
"circulos-quadril","Circulos de quadril","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","circulos-quadril","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/circulos-quadril.mp4","/videos/thumbs/circulos-quadril.jpg"
"circulos-tornozelo","Circulos de tornozelo","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","circulos-tornozelo","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/circulos-tornozelo.mp4","/videos/thumbs/circulos-tornozelo.jpg"
"elevacao-ombros-circulos","Circulos lentos de ombros","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","elevacao-ombros-circulos","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/elevacao-ombros-circulos.mp4","/videos/thumbs/elevacao-ombros-circulos.jpg"
"cobra-suave","Cobra suave","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","cobra-suave","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/cobra-suave.mp4","/videos/thumbs/cobra-suave.jpg"
"deltoide-posterior-cruzado","Deltoide posterior cruzado","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","deltoide-posterior-cruzado","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/deltoide-posterior-cruzado.mp4","/videos/thumbs/deltoide-posterior-cruzado.jpg"
"alongamento-dorsal-cadeira","Dorsal com apoio na cadeira","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","alongamento-dorsal-cadeira","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/alongamento-dorsal-cadeira.mp4","/videos/thumbs/alongamento-dorsal-cadeira.jpg"
"dorsiflexao-parede","Dorsiflexao na parede","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","dorsiflexao-parede","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/dorsiflexao-parede.mp4","/videos/thumbs/dorsiflexao-parede.jpg"
"extensao-abdominal-em-pe","Extensao abdominal em pe","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","extensao-abdominal-em-pe","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/extensao-abdominal-em-pe.mp4","/videos/thumbs/extensao-abdominal-em-pe.jpg"
"extensao-bracos-atras","Extensao dos bracos atras","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","extensao-bracos-atras","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/extensao-bracos-atras.mp4","/videos/thumbs/extensao-bracos-atras.jpg"
"extensao-dedos-pe","Extensao dos dedos do pe","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","extensao-dedos-pe","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/extensao-dedos-pe.mp4","/videos/thumbs/extensao-dedos-pe.jpg"
"extensao-flexores-punho","Extensao dos flexores do punho","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","extensao-flexores-punho","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/extensao-flexores-punho.mp4","/videos/thumbs/extensao-flexores-punho.jpg"
"extensao-toracica-peito","Extensao toracica com abertura de peito","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","extensao-toracica-peito","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/extensao-toracica-peito.mp4","/videos/thumbs/extensao-toracica-peito.jpg"
"extensao-toracica-cadeira","Extensao toracica na cadeira","body_movement","Alongamentos Regionais","3","75","script_ready_needs_final_video","extensao-toracica-cadeira","pose_reference","/exercises/gratidao-rapida.png","/exercises/gratidao-rapida.png|/exercises/ritual-sono-sem-tela.png|/exercises/checkin-emocional-guiado.png","/videos/extensao-toracica-cadeira.mp4","/videos/thumbs/extensao-toracica-cadeira.jpg"
